"""Date"""	"""Open"""	"""High"""	"""Low"""	"""Close"""	"""BTCVol"""	"""CurVol"""	"""WeightedP"""
16/11/2017 00:00	7294	7310	7220	7230.01	321.43	2330161.72	7249.39
16/11/2017 01:00	7230.01	7246.78	7130	7165.83	614.7	4405360.39	7166.71
16/11/2017 02:00	7166.12	7203.13	7120.85	7172	338.62	2427647.86	7169.18
16/11/2017 03:00	7180.44	7265	7150.46	7261.99	327.7	2362395.85	7208.91
16/11/2017 04:00	7260	7260	7181.15	7224.57	201.09	1452958.75	7225.41
16/11/2017 05:00	7224.57	7231.81	7162.19	7231.81	165.08	1188940.45	7202.13
16/11/2017 06:00	7221.39	7299.98	7220	7282.49	308.85	2242803.8	7261.67
16/11/2017 07:00	7289.5	7412	7251.72	7408.23	928.35	6823037.74	7349.66
16/11/2017 08:00	7408.23	7460.36	7349	7404	1477.99	10923366.35	7390.71
16/11/2017 09:00	7404	7473.45	7396.54	7468	485.11	3613085.58	7447.93
16/11/2017 10:00	7468	7538	7450	7497.93	1709.14	12799935.75	7489.11
16/11/2017 11:00	7494.99	7500.9	7367	7410	776.15	5776691.92	7442.72
16/11/2017 12:00	7408.31	7485.9	7399.32	7434.92	307.21	2288246.74	7448.55
16/11/2017 13:00	7434.9	7472.37	7380	7405	481.2	3568436.29	7415.64
16/11/2017 14:00	7405	7510	7399.73	7489.88	789.57	5883531.99	7451.54
16/11/2017 15:00	7489.9	7504.99	7457.49	7462.16	288.87	2160844.78	7480.38
16/11/2017 16:00	7462	7481.01	7425.16	7467.73	310.87	2316564.23	7451.91
16/11/2017 17:00	7474.82	7722.73	7462.15	7699.98	2060.55	15669701.59	7604.63
16/11/2017 18:00	7694.65	7826	7639	7820	1843.4	14269441.94	7740.83
16/11/2017 19:00	7815.8	7830	7675	7755	939.87	7286478.62	7752.67
16/11/2017 20:00	7755	7756	7670	7749.93	672.08	5193953.11	7728.18
16/11/2017 21:00	7749.93	7895	7720	7886.88	1394.2	10908349.47	7824.11
16/11/2017 22:00	7886.88	7976.79	7722.73	7799.04	1894.41	14858289.72	7843.25
16/11/2017 23:00	7799.98	7877.96	7763.76	7846.96	635.94	4988102.86	7843.7
17/11/2017 00:00	7846.96	7980	7827.07	7935.58	814.62	6450613.9	7918.53
17/11/2017 01:00	7935.58	7997	7870.35	7899.89	910.62	7221645.64	7930.43
17/11/2017 02:00	7899.89	7917.8	7790.34	7906.77	1075.58	8442699.7	7849.42
17/11/2017 03:00	7906.84	7990	7877.96	7900.5	711.88	5650309.76	7937.13
17/11/2017 04:00	7900.65	7941.9	7865.42	7888.82	375.22	2963511	7898.04
17/11/2017 05:00	7889.91	7956.74	7801.01	7916.85	563.72	4452833.73	7899.03
17/11/2017 06:00	7927.37	7927.37	7830	7858.98	334.89	2638202.73	7877.9
17/11/2017 07:00	7858.88	7858.88	7533	7537.17	2265.11	17367069.31	7667.22
17/11/2017 08:00	7537.03	7745.65	7528.5	7730.73	1501.42	11483036.4	7648.12
17/11/2017 09:00	7722.98	7825.49	7691.76	7763.03	763.78	5929005.36	7762.7
17/11/2017 10:00	7777.91	7877.96	7748.89	7871.96	444.03	3464153.3	7801.64
17/11/2017 11:00	7871.9	7895	7799.96	7807	480.89	3774589.79	7849.16
17/11/2017 12:00	7807	7922.85	7734.52	7753.98	682.6	5353970.3	7843.54
17/11/2017 13:00	7760.99	7900.47	7760.68	7816.01	663.85	5206359.14	7842.66
17/11/2017 14:00	7816.13	7940	7811.15	7904.91	404.76	3188394.6	7877.22
17/11/2017 15:00	7904.98	7990	7901.34	7964.96	717.47	5702906.53	7948.61
17/11/2017 16:00	7964.94	7993.93	7836.27	7879	689.06	5447629.86	7905.93
17/11/2017 17:00	7870	7879	7784.02	7825	735.25	5749951.39	7820.4
